Product Name,SKU,Category,Brand,Unit,Price
OG Kush 3.5g,CLEAN-001,Pre-Rolls,Kush Co,Unit,22.00
Sour Diesel 3.5g,CLEAN-002,Edibles,Cloud9 Labs,Gram,29.00
Gelato 3.5g,CLEAN-003,Vapes,Nebula Extracts,Unit,36.00
Wedding Cake 3.5g,CLEAN-004,Concentrates,Sungrown Farms,Gram,43.00
GDP 3.5g,CLEAN-005,Flower,Kush Co,Unit,50.00
Pineapple Express 3.5g,CLEAN-006,Pre-Rolls,Cloud9 Labs,Gram,57.00
Northern Lights 3.5g,CLEAN-007,Edibles,Nebula Extracts,Unit,64.00
Runtz 3.5g,CLEAN-008,Vapes,Sungrown Farms,Gram,16.00
Zkittlez 3.5g,CLEAN-009,Concentrates,Kush Co,Unit,23.00
Blue Dream 3.5g,CLEAN-010,Flower,Cloud9 Labs,Gram,30.00
OG Kush 3.5g,CLEAN-011,Pre-Rolls,Nebula Extracts,Unit,37.00
Sour Diesel 3.5g,CLEAN-012,Edibles,Sungrown Farms,Gram,44.00
Gelato 3.5g,CLEAN-013,Vapes,Kush Co,Unit,51.00
Wedding Cake 3.5g,CLEAN-014,Concentrates,Cloud9 Labs,Gram,58.00
GDP 3.5g,CLEAN-015,Flower,Nebula Extracts,Unit,65.00
Pineapple Express 3.5g,CLEAN-016,Pre-Rolls,Sungrown Farms,Gram,17.00
Northern Lights 3.5g,CLEAN-017,Edibles,Kush Co,Unit,24.00
Runtz 3.5g,CLEAN-018,Vapes,Cloud9 Labs,Gram,31.00
Zkittlez 3.5g,CLEAN-019,Concentrates,Nebula Extracts,Unit,38.00
Blue Dream 3.5g,CLEAN-020,Flower,Sungrown Farms,Gram,45.00
OG Kush 3.5g,CLEAN-021,Pre-Rolls,Kush Co,Unit,52.00
Sour Diesel 3.5g,CLEAN-022,Edibles,Cloud9 Labs,Gram,59.00
Gelato 3.5g,CLEAN-023,Vapes,Nebula Extracts,Unit,66.00
Wedding Cake 3.5g,CLEAN-024,Concentrates,Sungrown Farms,Gram,18.00
GDP 3.5g,CLEAN-025,Flower,Kush Co,Unit,25.00
