Item Name,Item #,Product Category,Brand,UOM,Wholesale Price
OG Kush #1,BULK-00001,Pre-Rolls,Kush Co,each,22.00
Sour Diesel #2,BULK-00002,Edibles,Cloud9 Labs,g,29.00
Gelato #3,BULK-00003,Vapes,Nebula Extracts,each,36.00
Wedding Cake #4,BULK-00004,Concentrates,Sungrown Farms,g,43.00
GDP #5,BULK-00005,Flower,Kush Co,each,50.00
Pineapple Express #6,BULK-00006,Pre-Rolls,Cloud9 Labs,g,57.00
Northern Lights #7,BULK-00007,Edibles,Nebula Extracts,each,64.00
Runtz #8,BULK-00008,Vapes,Sungrown Farms,g,16.00
Zkittlez #9,BULK-00009,Concentrates,Kush Co,each,23.00
Blue Dream #10,BULK-00010,Flower,Cloud9 Labs,g,30.00
OG Kush #11,BULK-00011,Pre-Rolls,Nebula Extracts,each,37.00
Sour Diesel #12,BULK-00012,Edibles,Sungrown Farms,g,44.00
Gelato #13,BULK-00013,Vapes,Kush Co,each,51.00
Wedding Cake #14,BULK-00014,Concentrates,Cloud9 Labs,g,58.00
GDP #15,BULK-00015,Flower,Nebula Extracts,each,65.00
Pineapple Express #16,BULK-00016,Pre-Rolls,Sungrown Farms,g,17.00
Northern Lights #17,BULK-00017,Edibles,Kush Co,each,24.00
Runtz #18,BULK-00018,Vapes,Cloud9 Labs,g,31.00
Zkittlez #19,BULK-00019,Concentrates,Nebula Extracts,each,38.00
Blue Dream #20,BULK-00020,Flower,Sungrown Farms,g,45.00
OG Kush #21,BULK-00021,Pre-Rolls,Kush Co,each,52.00
Sour Diesel #22,BULK-00022,Edibles,Cloud9 Labs,g,59.00
Gelato #23,BULK-00023,Vapes,Nebula Extracts,each,66.00
Wedding Cake #24,BULK-00024,Concentrates,Sungrown Farms,g,18.00
GDP #25,BULK-00025,Flower,Kush Co,each,25.00
Pineapple Express #26,BULK-00026,Pre-Rolls,Cloud9 Labs,g,32.00
Northern Lights #27,BULK-00027,Edibles,Nebula Extracts,each,39.00
Runtz #28,BULK-00028,Vapes,Sungrown Farms,g,46.00
Zkittlez #29,BULK-00029,Concentrates,Kush Co,each,53.00
Blue Dream #30,BULK-00030,Flower,Cloud9 Labs,g,60.00
OG Kush #31,BULK-00031,Pre-Rolls,Nebula Extracts,each,67.00
Sour Diesel #32,BULK-00032,Edibles,Sungrown Farms,g,19.00
Gelato #33,BULK-00033,Vapes,Kush Co,each,26.00
Wedding Cake #34,BULK-00034,Concentrates,Cloud9 Labs,g,33.00
GDP #35,BULK-00035,Flower,Nebula Extracts,each,40.00
Pineapple Express #36,BULK-00036,Pre-Rolls,Sungrown Farms,g,47.00
Northern Lights #37,BULK-00037,Edibles,Kush Co,each,54.00
Runtz #38,BULK-00038,Vapes,Cloud9 Labs,g,61.00
Zkittlez #39,BULK-00039,Concentrates,Nebula Extracts,each,68.00
Blue Dream #40,BULK-00040,Flower,Sungrown Farms,g,20.00
OG Kush #41,BULK-00041,Pre-Rolls,Kush Co,each,27.00
Sour Diesel #42,BULK-00042,Edibles,Cloud9 Labs,g,34.00
Gelato #43,BULK-00043,Vapes,Nebula Extracts,each,41.00
Wedding Cake #44,BULK-00044,Concentrates,Sungrown Farms,g,48.00
GDP #45,BULK-00045,Flower,Kush Co,each,55.00
Pineapple Express #46,BULK-00046,Pre-Rolls,Cloud9 Labs,g,62.00
Northern Lights #47,BULK-00047,Edibles,Nebula Extracts,each,69.00
Runtz #48,BULK-00048,Vapes,Sungrown Farms,g,21.00
Zkittlez #49,BULK-00049,Concentrates,Kush Co,each,28.00
Blue Dream #50,BULK-00050,Flower,Cloud9 Labs,g,35.00
OG Kush #51,BULK-00051,Pre-Rolls,Nebula Extracts,each,42.00
Sour Diesel #52,BULK-00052,Edibles,Sungrown Farms,g,49.00
Gelato #53,BULK-00053,Vapes,Kush Co,each,56.00
Wedding Cake #54,BULK-00054,Concentrates,Cloud9 Labs,g,63.00
GDP #55,BULK-00055,Flower,Nebula Extracts,each,15.00
Pineapple Express #56,BULK-00056,Pre-Rolls,Sungrown Farms,g,22.00
Northern Lights #57,BULK-00057,Edibles,Kush Co,each,29.00
Runtz #58,BULK-00058,Vapes,Cloud9 Labs,g,36.00
Zkittlez #59,BULK-00059,Concentrates,Nebula Extracts,each,43.00
Blue Dream #60,BULK-00060,Flower,Sungrown Farms,g,50.00
OG Kush #61,BULK-00061,Pre-Rolls,Kush Co,each,57.00
Sour Diesel #62,BULK-00062,Edibles,Cloud9 Labs,g,64.00
Gelato #63,BULK-00063,Vapes,Nebula Extracts,each,16.00
Wedding Cake #64,BULK-00064,Concentrates,Sungrown Farms,g,23.00
GDP #65,BULK-00065,Flower,Kush Co,each,30.00
Pineapple Express #66,BULK-00066,Pre-Rolls,Cloud9 Labs,g,37.00
Northern Lights #67,BULK-00067,Edibles,Nebula Extracts,each,44.00
Runtz #68,BULK-00068,Vapes,Sungrown Farms,g,51.00
Zkittlez #69,BULK-00069,Concentrates,Kush Co,each,58.00
Blue Dream #70,BULK-00070,Flower,Cloud9 Labs,g,65.00
OG Kush #71,BULK-00071,Pre-Rolls,Nebula Extracts,each,17.00
Sour Diesel #72,BULK-00072,Edibles,Sungrown Farms,g,24.00
Gelato #73,BULK-00073,Vapes,Kush Co,each,31.00
Wedding Cake #74,BULK-00074,Concentrates,Cloud9 Labs,g,38.00
GDP #75,BULK-00075,Flower,Nebula Extracts,each,45.00
Pineapple Express #76,BULK-00076,Pre-Rolls,Sungrown Farms,g,52.00
Northern Lights #77,BULK-00077,Edibles,Kush Co,each,59.00
Runtz #78,BULK-00078,Vapes,Cloud9 Labs,g,66.00
Zkittlez #79,BULK-00079,Concentrates,Nebula Extracts,each,18.00
Blue Dream #80,BULK-00080,Flower,Sungrown Farms,g,25.00
OG Kush #81,BULK-00081,Pre-Rolls,Kush Co,each,32.00
Sour Diesel #82,BULK-00082,Edibles,Cloud9 Labs,g,39.00
Gelato #83,BULK-00083,Vapes,Nebula Extracts,each,46.00
Wedding Cake #84,BULK-00084,Concentrates,Sungrown Farms,g,53.00
GDP #85,BULK-00085,Flower,Kush Co,each,60.00
Pineapple Express #86,BULK-00086,Pre-Rolls,Cloud9 Labs,g,67.00
Northern Lights #87,BULK-00087,Edibles,Nebula Extracts,each,19.00
Runtz #88,BULK-00088,Vapes,Sungrown Farms,g,26.00
Zkittlez #89,BULK-00089,Concentrates,Kush Co,each,33.00
Blue Dream #90,BULK-00090,Flower,Cloud9 Labs,g,40.00
OG Kush #91,BULK-00091,Pre-Rolls,Nebula Extracts,each,47.00
Sour Diesel #92,BULK-00092,Edibles,Sungrown Farms,g,54.00
Gelato #93,BULK-00093,Vapes,Kush Co,each,61.00
Wedding Cake #94,BULK-00094,Concentrates,Cloud9 Labs,g,68.00
GDP #95,BULK-00095,Flower,Nebula Extracts,each,20.00
Pineapple Express #96,BULK-00096,Pre-Rolls,Sungrown Farms,g,27.00
Northern Lights #97,BULK-00097,Edibles,Kush Co,each,34.00
Runtz #98,BULK-00098,Vapes,Cloud9 Labs,g,41.00
Zkittlez #99,BULK-00099,Concentrates,Nebula Extracts,each,48.00
Blue Dream #100,BULK-00100,Flower,Sungrown Farms,g,55.00
OG Kush #101,BULK-00101,Pre-Rolls,Kush Co,each,62.00
Sour Diesel #102,BULK-00102,Edibles,Cloud9 Labs,g,69.00
Gelato #103,BULK-00103,Vapes,Nebula Extracts,each,21.00
Wedding Cake #104,BULK-00104,Concentrates,Sungrown Farms,g,28.00
GDP #105,BULK-00105,Flower,Kush Co,each,35.00
Pineapple Express #106,BULK-00106,Pre-Rolls,Cloud9 Labs,g,42.00
Northern Lights #107,BULK-00107,Edibles,Nebula Extracts,each,49.00
