Product Name,SKU,Category,Brand,Unit,Price
OG Kush 3.5g,UP-001,Pre-Rolls,Kush Co,Gram,27.00
Sour Diesel 3.5g,UP-002,Edibles,Cloud9 Labs,Gram,34.00
Gelato 3.5g,UP-003,Vapes,Nebula Extracts,Gram,41.00
Wedding Cake 3.5g,UP-004,Concentrates,Sungrown Farms,Gram,48.00
GDP 3.5g,UP-005,Flower,Kush Co,Gram,55.00
Pineapple Express 3.5g (2026 Harvest),UP-006,Pre-Rolls,Cloud9 Labs,Gram,62.00
Northern Lights 3.5g,UP-007,Edibles,Nebula Extracts,Gram,69.00
Runtz 3.5g,UP-008,Vapes,Sungrown Farms,Gram,21.00
Zkittlez 3.5g,UP-009,Concentrates,Kush Co,Gram,28.00
Blue Dream 3.5g,UP-010,Flower,Cloud9 Labs,Gram,35.00
OG Kush 3.5g,UP-011,Pre-Rolls,Nebula Extracts,Gram,42.00
Sour Diesel 3.5g (2026 Harvest),UP-012,Edibles,Sungrown Farms,Gram,49.00
Brand New Strain 3.5g,UP-013,Flower,Nebula Extracts,Gram,38.00
Another New Drop 1g,UP-014,Concentrates,Kush Co,Gram,55.00
